frage,antwort_1,antwort_2,antwort_3,antwort_4,richtige_antwort_1,richtige_antwort_2
Welche AWS-Dienstleistung wird hauptsächlich für skalierbare und elastische Webanwendungen verwendet?,Amazon EC2,Amazon RDS,Amazon DynamoDB,Amazon Redshift,Amazon EC2,
Was ist eine Hauptfunktion von Amazon S3?,Dateispeicherung,Relationale Datenbank,Datenanalyse,Virtual Private Network,Dateispeicherung,
Welcher AWS-Dienst ist ein blockbasierter Speicher, der für EC2-Instanzen verwendet wird?,Amazon EBS,Amazon S3,Amazon Glacier,Amazon FSx,Amazon EBS,
Für welchen Zweck wird Amazon FSx hauptsächlich verwendet?,Hochleistungsdateisystem,Backup-Speicher,Kalt-Datenspeicher,Edge-Computing,Hochleistungsdateisystem,
Was beschreibt Amazon EFS?,Ein verwaltetes NAS-Dateisystem,Blockspeicher,Kaltlagerung,Eine Datenbank,Ein verwaltetes NAS-Dateisystem,
Wie unterstützt AWS bei der Migration von Anwendungen in die Cloud?,AWS Migration Hub,AWS Direct Connect,Amazon RDS,AWS Lambda,AWS Migration Hub,
Welcher Dienst wird für die Containerverwaltung in AWS verwendet?,Amazon ECS,Amazon EC2,Amazon S3,Amazon EBS,Amazon ECS,
Welcher Storage-Dienst ist optimal für die Archivierung von Daten?,Amazon Glacier,Amazon EFS,Amazon EC2,Amazon FSx,Amazon Glacier,
Was ist der Hauptvorteil von Amazon EBS gegenüber Amazon EC2 lokal gespeichertem Speicher?,Persistenz,Preis,Niedrigere Latenz,Höhere Kapazität,Persistenz,
Was ermöglicht Amazon S3 im Bereich der Datenspeicherung?,Objekt-Speicherung,Block-Speicherung,Datentransfer in Echtzeit,Stream Processing,Objekt-Speicherung,
Welche Option bietet AWS für die physische Datenmigration?,AWS Snowball,AWS Data Pipeline,AWS Storage Gateway,AWS Direct Connect,AWS Snowball,
Welches Feature von Amazon EC2 erlaubt das automatische Skalieren?,Auto Scaling,AWS Lambda,EBS-Optimized Instances,Amazon Machine Images,Auto Scaling,
Was ist eine Kernfunktion von Amazon EFS?,Unterstützung für skalierbare Anwendungen,Machine Learning,Echtzeit-Datenbankverarbeitung,Backup und Recovery,Unterstützung für skalierbare Anwendungen,
Welche AWS-Lösung ist am besten für eine hohe Verfügbarkeit von Containeranwendungen?,Amazon EKS,Amazon SQS,Amazon Aurora,Amazon QuickSight,Amazon EKS,
Wie wird Amazon FSx für Windows File Server am häufigsten verwendet?,Für Windows-basierte Anwendungen,Als relationaler Datenbankservice,Als Netzwerkisolationsdienst,Als dedizierter Host,Für Windows-basierte Anwendungen,
Welche Migrationsoption bietet die schnellste Datenübertragung zwischen On-Premises und AWS?,AWS Direct Connect,AWS Snowmobile,AWS VPN,AWS Kinesis Data Firehose,AWS Direct Connect,
Wie unterscheidet sich Amazon EBS von Amazon S3?,Blockspeicher vs. Objektspeicher,SQL vs. NoSQL,VPN vs. Direct Connect,Datenanalyse vs. Datenspeicherung,Blockspeicher vs. Objektspeicher,
Was ist der Vorteil von Amazon S3 Glacier?,Kostengünstige Archivspeicherung,Schneller Datenzugriff,Hohe I/O-Performance,Maschinelles Lernen,Kostengünstige Archivspeicherung,
Wie kann Amazon ECS die Verwaltung von Containern vereinfachen?,Durch orchestrierte Containerplatzierung,Indem es statische IPs zuweist,Indem es Funktionen als Dienst bereitstellt,Durch Bereitstellung von Hardware,Durch orchestrierte Containerplatzierung,
Was ist der primäre Nutzungszweck von Amazon FSx für Lustre?,Verarbeitung von Big Data und maschinellem Lernen,Bereitstellung von Content Delivery Netzwerken,Unterstützung für grafische Anwendungen,Speicherung persönlicher Daten,Verarbeitung von Big Data und maschinellem Lernen,
